id;name;geoid;geoname;value;datetime;Precio_energia_excedentaria
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;177.2;2023-01-03T05:00:00+01:00;115.43
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;198.9;2023-01-03T06:00:00+01:00;137.7
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;213.77;2023-01-03T07:00:00+01:00;154.55
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;252.17;2023-01-03T08:00:00+01:00;168.43
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;253.32;2023-01-03T09:00:00+01:00;170.44
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;278.03;2023-01-03T10:00:00+01:00;154.16
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;266.95;2023-01-03T11:00:00+01:00;145.38
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;251.14;2023-01-03T12:00:00+01:00;131.79
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;246.7;2023-01-03T13:00:00+01:00;128.44
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;196.27;2023-01-03T14:00:00+01:00;124.63
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;190.7;2023-01-03T15:00:00+01:00;118.95
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;210.11;2023-01-03T16:00:00+01:00;133.98
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;237.68;2023-01-03T17:00:00+01:00;155.56
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;298.14;2023-01-03T18:00:00+01:00;168.05
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;287.77;2023-01-03T19:00:00+01:00;160.25
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;276.71;2023-01-03T20:00:00+01:00;151.32
1001;Término de facturación de energía activa del PVPC 2.0TD Península;8741;Península;274.49;2023-01-03T21:00:00+01:00;149.11
