CUPS;FECHA-HORA;INV / VER;CONSUMO Wh;GENERACION Wh;REACT Q1;REACT Q2;REACT Q3;REACT Q4;METODO OBT.;FIRMEZA;NUM FACTURA
ES002100000100007PD;03/01/2023 19:00;0;463;0;0;0;0;197;1;1;3.23E+15
ES002100000100007PD;03/01/2023 20:00;0;416;0;0;0;0;199;1;1;3.23E+15
ES002100000100007PD;03/01/2023 21:00;0;414;0;1;0;0;190;1;1;3.23E+15
ES002100000100007PD;03/01/2023 22:00;0;595;0;0;0;0;213;1;1;3.23E+15
ES002100000100007PD;03/01/2023 23:00;0;383;0;0;0;0;182;1;1;3.23E+15
ES002100000100007PD;04/01/2023 0:00;0;461;0;0;0;0;208;1;1;3.23E+15
ES002100000100007PD;04/01/2023 1:00;0;204;0;1;0;0;172;1;1;3.23E+15
ES002100000100007PD;04/01/2023 2:00;0;208;0;0;0;0;161;1;1;3.23E+15
ES002100000100007PD;04/01/2023 3:00;0;192;0;0;0;0;160;1;1;3.23E+15
ES002100000100007PD;04/01/2023 4:00;0;180;0;0;0;0;157;1;1;3.23E+15
ES002100000100007PD;04/01/2023 5:00;0;198;0;0;0;0;157;1;1;3.23E+15
ES002100000100007PD;04/01/2023 6:00;0;169;0;1;0;0;161;1;1;3.23E+15
ES002100000100007PD;04/01/2023 7:00;0;167;0;0;0;0;165;1;1;3.23E+15
ES002100000100007PD;04/01/2023 8:00;0;321;0;0;0;0;163;1;1;3.23E+15
ES002100000100007PD;04/01/2023 9:00;0;289;0;0;0;0;167;1;1;3.23E+15
ES002100000100007PD;04/01/2023 10:00;0;273;0;1;0;0;158;1;1;3.23E+15
ES002100000100007PD;04/01/2023 11:00;0;400;0;1;0;0;149;1;1;3.23E+15
ES002100000100007PD;04/01/2023 12:00;0;277;0;0;0;0;163;1;1;3.23E+15
ES002100000100007PD;04/01/2023 13:00;0;219;0;0;0;0;165;1;1;3.23E+15
ES002100000100007PD;04/01/2023 14:00;0;237;0;0;0;0;153;1;1;3.23E+15
ES002100000100007PD;04/01/2023 15:00;0;1475;0;1;0;0;191;1;1;3.23E+15
ES002100000100007PD;04/01/2023 16:00;0;486;0;2;0;0;92;1;1;3.23E+15
ES002100000100007PD;04/01/2023 17:00;0;1363;0;0;0;0;123;1;1;3.23E+15
ES002100000100007PD;04/01/2023 18:00;0;1018;0;0;0;0;139;1;1;3.23E+15
ES002100000100007PD;04/01/2023 19:00;0;633;0;0;0;0;186;1;1;3.23E+15
ES002100000100007PD;04/01/2023 20:00;0;1107;0;1;0;0;193;1;1;3.23E+15
ES002100000100007PD;04/01/2023 21:00;0;428;0;1;0;0;172;1;1;3.23E+15
ES002100000100007PD;04/01/2023 22:00;0;563;0;2;0;0;197;1;1;3.23E+15
